root_reference,current_reference,added,replacement_added,executed,cancelled,deleted,replaced_out,remaining,balanced
735,735,100,0,0,0,100,0,0,1
2208,2208,1500,0,0,0,1500,0,0,1
11493,11493,400,0,0,0,400,0,0,1
2236,2236,1000,0,0,0,1000,0,0,1
2248,81240,4500,800,0,0,800,4500,0,1
755,755,1100,0,0,0,1100,0,0,1
2252,2252,10,0,0,0,10,0,0,1
11545,11545,45,0,0,0,45,0,0,1
11549,11549,90,0,0,0,90,0,0,1
771,771,3000,0,0,1000,2000,0,0,1
2288,18476,1500,1500,0,0,1500,1500,0,1
11625,11625,34,0,0,0,34,0,0,1
2332,2332,1500,0,0,0,1500,0,0,1
791,791,1000,0,0,0,1000,0,0,1
11677,11677,2000,0,0,200,1800,0,0,1
2360,2360,750,0,0,0,750,0,0,1
2372,2372,400,0,0,0,400,0,0,1
2376,2376,1500,0,0,0,1500,0,0,1
807,807,1000,0,0,0,1000,0,0,1
2388,2388,100,0,0,0,100,0,0,1
811,811,9757,0,87,0,9670,0,0,1
2428,2428,4500,0,0,0,4500,0,0,1
11825,11825,16,0,0,0,16,0,0,1
11845,11845,100,0,0,0,100,0,0,1
2460,2460,1000,0,0,0,1000,0,0,1
2472,2472,200,0,0,0,200,0,0,1
843,843,2000,0,0,0,2000,0,0,1
2504,132404,1500,2000,0,0,1000,2500,0,1
871,871,50,0,0,0,50,0,0,1
2512,2512,300,0,0,0,300,0,0,1
422,422,100,0,100,0,0,0,0,1
883,883,1000,0,0,0,1000,0,0,1
2548,2548,1000,0,0,0,1000,0,0,1
891,891,1000,0,0,500,500,0,0,1
2592,86928,1500,2500,0,0,1500,2500,0,1
2600,2600,30,0,0,0,30,0,0,1
2604,2604,200,0,0,0,200,0,0,1
510,510,1000,0,0,0,1000,0,0,1
530,530,1000,0,0,0,1000,0,0,1
12053,12053,115,0,0,0,115,0,0,1
12057,12057,13000,0,0,0,13000,0,0,1
554,554,1000,0,0,0,1000,0,0,1
578,578,1000,0,0,0,1000,0,0,1
2676,2676,1000,0,0,0,1000,0,0,1
947,947,1000,0,0,500,500,0,0,1
598,79230,3000,2000,0,0,500,4500,0,1
2720,2720,500,0,0,0,500,0,0,1
626,626,3000,0,0,0,3000,0,0,1
12149,12149,400,0,0,0,400,0,0,1
650,650,700,0,0,0,700,0,0,1
654,654,100,0,0,0,100,0,0,1
662,76674,3000,2000,0,0,500,4500,0,1
682,682,3000,0,0,0,3000,0,0,1
12201,12201,1000,0,0,0,1000,0,0,1
971,36331,300,400,0,0,400,300,0,1
702,702,199,0,0,0,199,0,0,1
975,975,300,0,0,0,300,0,0,1
979,155275,1000,1000,0,0,1000,1000,0,1
983,983,700,0,0,0,700,0,0,1
12241,12241,450,0,0,0,450,0,0,1
12245,12245,2000,0,0,1000,1000,0,0,1
991,155479,1000,200,0,0,200,1000,0,1
1015,1015,2000,0,0,0,2000,0,0,1
794,64006,3000,5000,0,0,1500,6500,0,1
1019,1019,100,0,0,0,100,0,0,1
1023,1023,1900,0,0,900,1000,0,0,1
818,70042,3000,3000,0,0,3000,3000,0,1
842,68950,3000,2500,0,0,1000,4500,0,1
3060,3060,500,0,0,0,500,0,0,1
858,76590,3000,500,0,0,500,3000,0,1
878,878,51,0,0,0,51,0,0,1
898,898,50,0,0,0,50,0,0,1
3132,3132,600,0,0,0,600,0,0,1
12369,12369,2000,0,0,200,1800,0,0,1
12377,12377,2000,0,0,1000,1000,0,0,1
3180,3180,900,0,0,0,900,0,0,1
1063,1063,1000,0,0,0,1000,0,0,1
1002,1002,125,0,0,0,125,0,0,1
12429,12429,900,0,0,0,900,0,0,1
12433,12433,100,0,0,0,100,0,0,1
3228,3228,600,0,0,0,600,0,0,1
12465,12465,2000,0,0,1000,1000,0,0,1
3268,3268,100,0,0,0,100,0,0,1
3276,3276,900,0,0,0,900,0,0,1
12509,12509,2000,0,0,0,2000,0,0,1
1115,1115,4400,0,0,0,4400,0,0,1
1127,1127,1500,0,0,0,1500,0,0,1
1102,1102,70,0,0,0,70,0,0,1
1135,1135,1000,0,0,0,1000,0,0,1
1139,1139,300,0,0,0,300,0,0,1
1143,1143,200,0,0,0,200,0,0,1
1155,80687,12500,10600,0,0,10600,12500,0,1
1159,1159,200,0,200,0,0,0,0,1
1167,1167,3100,0,0,0,3100,0,0,1
1183,241679,1000,1000,0,0,1000,1000,0,1
1195,80691,12500,11900,0,0,11900,12500,0,1
12689,12689,1000,0,0,0,1000,0,0,1
1199,1199,1000,0,0,0,1000,0,0,1
1211,1211,1000,0,0,0,1000,0,0,1
3560,57480,500,200,0,0,200,500,0,1
1243,1243,400,0,0,0,400,0,0,1
3608,900872,1500,200,0,0,200,1500,0,1
3652,41932,400,900,0,0,300,1000,0,1
3692,186956,1500,1500,0,0,1500,1500,0,1
12845,12845,700,0,0,0,700,0,0,1
1283,1283,2000,0,0,1000,1000,0,0,1
12861,89593,1000,500,0,0,500,1000,0,1
12877,12877,1000,0,0,0,1000,0,0,1
12893,430293,3000,6500,0,0,500,9000,0,1
12909,12909,1000,0,0,500,500,0,0,1
12913,109721,1000,1000,0,0,500,1500,0,1
1398,1398,500,0,0,0,500,0,0,1
12921,12921,1000,0,0,0,1000,0,0,1
12941,171145,3000,500,0,0,500,3000,0,1
1319,1319,199,0,0,0,199,0,0,1
3916,3916,370,0,0,0,370,0,0,1
12957,45745,1000,1000,0,0,500,1500,0,1
12969,12969,1000,0,0,0,1000,0,0,1
1343,1343,1500,0,0,0,1500,0,0,1
12973,122601,1500,3000,0,0,1500,3000,0,1
12989,12989,500,0,0,0,500,0,0,1
1490,1490,100,0,0,0,100,0,0,1
13009,13009,500,0,0,0,500,0,0,1
13021,13021,1500,0,0,0,1500,0,0,1
13041,13041,1000,0,0,0,1000,0,0,1
1534,75302,1500,700,0,0,700,1500,0,1
4084,4084,500,0,0,0,500,0,0,1
1558,1558,3000,0,0,0,3000,0,0,1
1582,1582,1500,0,0,0,1500,0,0,1
1606,1606,3000,0,0,0,3000,0,0,1
4156,4156,300,0,0,0,300,0,0,1
13137,13137,1000,0,0,0,1000,0,0,1
13141,107489,3000,2200,0,0,700,4500,0,1
13149,13149,3000,0,0,0,3000,0,0,1
13153,115653,3000,3000,0,0,3000,3000,0,1
13157,13157,300,0,0,0,300,0,0,1
13161,13161,2593,0,0,0,2593,0,0,1
1650,1650,900,0,0,0,900,0,0,1
13173,84949,3000,1500,0,0,1500,3000,0,1
13185,114393,3000,3000,0,0,3000,3000,0,1
13193,13193,100,0,0,0,100,0,0,1
13197,13197,1000,0,0,0,1000,0,0,1
1714,1714,2000,0,0,1000,1000,0,0,1
13213,13213,1000,0,0,0,1000,0,0,1
13225,91089,1000,500,0,0,500,1000,0,1
13229,13229,1000,0,0,0,1000,0,0,1
4204,4204,5000,0,0,0,5000,0,0,1
13241,13241,1000,0,0,0,1000,0,0,1
13253,13253,1500,0,0,0,1500,0,0,1
13257,13257,1000,0,0,0,1000,0,0,1
4208,4208,300,0,0,0,300,0,0,1
1798,1798,250,0,0,0,250,0,0,1
13269,249073,1500,2000,0,0,500,3000,0,1
4216,4216,500,0,0,0,500,0,0,1
13273,124201,1000,5500,0,0,1000,5500,0,1
13285,13285,1000,0,0,0,1000,0,0,1
13289,13289,2000,0,0,0,2000,0,0,1
13297,124241,3000,3000,0,0,3000,3000,0,1
13305,13305,1000,0,0,0,1000,0,0,1
13309,95157,2000,1500,0,0,500,3000,0,1
1926,1926,1000,0,0,500,500,0,0,1
13313,114061,3000,1000,0,0,500,3500,0,1
13317,13317,400,0,0,0,400,0,0,1
13333,13333,500,0,0,0,500,0,0,1
13341,212373,1500,1500,0,0,1500,1500,0,1
13357,13357,500,0,0,0,500,0,0,1
13361,13361,1500,0,0,0,1500,0,0,1
1839,1839,500,0,0,0,500,0,0,1
1851,1851,500,0,0,0,500,0,0,1
4244,4244,200,0,0,0,200,0,0,1
4252,4252,2000,0,0,1000,1000,0,0,1
13373,13373,200,0,0,0,200,0,0,1
4256,4256,1000,0,0,300,700,0,0,1
2091,2091,1000,0,0,0,1000,0,0,1
2242,2242,1000,0,0,0,1000,0,0,1
13421,13421,1000,0,0,0,1000,0,0,1
2127,2127,150,0,0,0,150,0,0,1
2278,2278,900,0,0,0,900,0,0,1
4280,4280,200,0,0,0,200,0,0,1
2302,2302,1000,0,0,0,1000,0,0,1
2350,2350,50,0,0,0,50,0,0,1
2382,2382,2000,0,0,0,2000,0,0,1
13489,13489,1800,0,0,659,1141,0,0,1
13525,13525,100,0,0,0,100,0,0,1
13541,13541,3000,0,0,0,3000,0,0,1
13593,13593,10600,0,0,6700,3900,0,0,1
4352,4352,273,0,0,0,273,0,0,1
2719,2719,100,0,0,0,100,0,0,1
13641,13641,1000,0,0,0,1000,0,0,1
2890,2890,1000,0,0,500,500,0,0,1
13645,13645,1800,0,0,0,1800,0,0,1
4404,4404,20000,0,0,0,20000,0,0,1
13649,13649,100,0,100,0,0,0,0,1
2902,2902,3000,0,0,0,3000,0,0,1
2918,2918,1000,0,0,400,600,0,0,1
13693,13693,1000,0,0,500,500,0,0,1
4448,4448,150,0,0,0,150,0,0,1
13725,13725,7900,0,0,0,7900,0,0,1
13745,13745,200,0,0,0,200,0,0,1
13749,13749,5300,0,0,4000,1300,0,0,1
3235,3235,100,0,0,0,100,0,0,1
3058,3058,300,0,0,0,300,0,0,1
3291,3291,100,0,0,0,100,0,0,1
3082,3082,500,0,0,0,500,0,0,1
3335,3335,100,0,0,0,100,0,0,1
3447,3447,300,0,0,0,300,0,0,1
4520,4520,162,0,0,0,162,0,0,1
4524,4524,1000,0,0,0,1000,0,0,1
13833,13833,17,0,0,0,17,0,0,1
3194,3194,220,0,0,0,220,0,0,1
13841,13841,200,0,0,0,200,0,0,1
4544,4544,2000,0,0,0,2000,0,0,1
3254,3254,600,0,0,0,600,0,0,1
3262,3262,1000,0,0,500,500,0,0,1
13853,13853,1000,0,0,0,1000,0,0,1
3775,3775,100,0,0,0,100,0,0,1
4572,4572,81,0,81,0,0,0,0,1
4580,4580,1000,0,0,0,1000,0,0,1
4584,4584,100,0,0,0,100,0,0,1
3338,3338,300,0,0,0,300,0,0,1
13921,13921,3000,0,0,2000,1000,0,0,1
13961,13961,3000,0,0,0,3000,0,0,1
4660,4660,10,0,0,0,10,0,0,1
4668,4668,1000,0,0,0,1000,0,0,1
14001,14001,125,0,0,0,125,0,0,1
14009,14009,8000,0,0,0,8000,0,0,1
3502,3502,1000,0,0,0,1000,0,0,1
4635,4635,400,0,400,0,0,0,0,1
4728,4728,550,0,0,0,550,0,0,1
3674,3674,300,0,0,0,300,0,0,1
3694,3694,1000,0,0,0,1000,0,0,1
5023,5023,103,0,0,0,103,0,0,1
14141,14141,250,0,0,0,250,0,0,1
3790,3790,2000,0,0,0,2000,0,0,1
5307,5307,100,0,0,0,100,0,0,1
4836,4836,75,0,0,0,75,0,0,1
14221,14221,1000,0,0,0,1000,0,0,1
3918,3918,1000,0,0,0,1000,0,0,1
4864,4864,1000,0,0,0,1000,0,0,1
3938,3938,366,0,0,0,366,0,0,1
14285,14285,100,0,0,0,100,0,0,1
6115,6115,100,0,0,0,100,0,0,1
4110,4110,1000,0,0,0,1000,0,0,1
4936,4936,75,0,0,0,75,0,0,1
6231,6231,4000,0,0,0,4000,0,0,1
14365,14365,100,0,0,0,100,0,0,1
6539,6539,300,0,0,0,300,0,0,1
4242,4242,3000,0,0,0,3000,0,0,1
6627,6627,5600,0,0,0,5600,0,0,1
6631,6631,98,0,0,0,98,0,0,1
4350,4350,200,0,0,0,200,0,0,1
5060,5060,75,0,0,0,75,0,0,1
14529,14529,50,0,0,0,50,0,0,1
14533,14533,50,0,0,0,50,0,0,1
14537,14537,8000,0,0,0,8000,0,0,1
5112,5112,2000,0,0,0,2000,0,0,1
7475,7475,200,0,0,0,200,0,0,1
4502,4502,1000,0,0,0,1000,0,0,1
5132,5132,75,0,0,0,75,0,0,1
8227,8227,4000,0,0,3000,1000,0,0,1
8499,8499,1000,0,0,500,500,0,0,1
14725,14725,1000,0,0,0,1000,0,0,1
4638,4638,3000,0,0,0,3000,0,0,1
14753,14753,200,0,0,0,200,0,0,1
5260,5260,73,0,0,0,73,0,0,1
14797,14797,1000,0,0,500,500,0,0,1
9731,26403,700,300,0,0,300,700,0,1
9851,9851,200,0,0,0,200,0,0,1
5058,5058,200,0,0,0,200,0,0,1
14933,14933,1000,0,1000,0,0,0,0,1
14937,14937,1725,0,0,0,1725,0,0,1
14949,14949,300,0,0,100,200,0,0,1
10107,10107,2000,0,0,1000,1000,0,0,1
10175,10175,3000,0,0,0,3000,0,0,1
5748,5748,1000,0,0,0,1000,0,0,1
10183,10183,2000,0,0,0,2000,0,0,1
10215,10215,500,0,0,0,500,0,0,1
6430,6430,410,0,0,0,410,0,0,1
10475,10475,1500,0,0,0,1500,0,0,1
15269,15269,400,0,0,0,400,0,0,1
15281,15281,12026,0,0,0,12026,0,0,1
6360,6360,3000,0,0,0,3000,0,0,1
10575,10575,2000,0,0,0,2000,0,0,1
15385,15385,200,0,0,0,200,0,0,1
10791,10791,7000,0,0,0,7000,0,0,1
15509,15509,1000,0,0,0,1000,0,0,1
15525,15525,10,0,0,0,10,0,0,1
10835,10835,6000,0,0,0,6000,0,0,1
10855,10855,1600,0,0,0,1600,0,0,1
6752,6752,1000,0,0,0,1000,0,0,1
11027,11027,3000,0,0,0,3000,0,0,1
6796,6796,2500,0,0,0,2500,0,0,1
16217,16217,1000,0,0,0,1000,0,0,1
16701,16701,3000,0,0,0,3000,0,0,1
9542,9542,3000,0,0,0,3000,0,0,1
11311,11311,50,0,0,0,50,0,0,1
11467,11467,200,0,0,0,200,0,0,1
17697,17697,400,0,0,200,200,0,0,1
9634,9634,6000,0,0,0,6000,0,0,1
17945,17945,2,0,0,0,2,0,0,1
7052,7052,1000,0,0,0,1000,0,0,1
7056,7056,1000,0,0,0,1000,0,0,1
11583,11583,200,0,0,0,200,0,0,1
18621,18621,1000,0,0,0,1000,0,0,1
9742,9742,1000,0,0,0,1000,0,0,1
11683,11683,200,0,0,100,100,0,0,1
11727,11727,200,0,0,0,200,0,0,1
9918,9918,6000,0,0,0,6000,0,0,1
20509,20509,9000,0,0,7500,1500,0,0,1
7436,7436,1000,0,0,0,1000,0,0,1
9966,9966,2000,0,0,1000,1000,0,0,1
7440,7440,3000,0,0,0,3000,0,0,1
7524,7524,1800,0,0,100,1700,0,0,1
12087,12087,100,0,0,0,100,0,0,1
21797,21797,3000,0,0,0,3000,0,0,1
7764,7764,1000,0,0,500,500,0,0,1
12275,12275,6000,0,0,0,6000,0,0,1
12295,12295,3,0,0,0,3,0,0,1
10266,10266,900,0,0,0,900,0,0,1
12367,12367,597,0,0,0,597,0,0,1
10326,10326,1000,0,0,0,1000,0,0,1
24213,24213,2000,0,0,1500,500,0,0,1
12419,12419,100,0,0,0,100,0,0,1
24509,24509,200,0,0,0,200,0,0,1
12467,12467,503,0,0,0,503,0,0,1
12511,12511,55,0,0,0,55,0,0,1
12551,12551,597,0,0,0,597,0,0,1
12671,12671,503,0,0,0,503,0,0,1
25305,25305,1000,0,0,0,1000,0,0,1
8404,8404,100,0,0,0,100,0,0,1
10682,10682,1300,0,0,0,1300,0,0,1
25621,25621,1000,0,0,0,1000,0,0,1
8484,8484,5000,0,0,2500,2500,0,0,1
12823,12823,68,0,0,0,68,0,0,1
8516,8516,2000,0,0,1000,1000,0,0,1
10906,10906,800,0,0,0,800,0,0,1
8624,8624,1000,0,0,0,1000,0,0,1
10966,10966,1500,0,0,0,1500,0,0,1
13047,13047,1100,0,0,0,1100,0,0,1
26641,26641,2000,0,0,1000,1000,0,0,1
8676,8676,5000,0,0,0,5000,0,0,1
27181,27181,3000,0,0,1500,1500,0,0,1
11166,11166,400,0,0,0,400,0,0,1
27285,27285,3000,0,0,0,3000,0,0,1
27549,27549,300,0,0,0,300,0,0,1
27697,27697,1000,0,0,0,1000,0,0,1
8868,8868,3000,0,0,0,3000,0,0,1
28009,28009,6000,0,0,3000,3000,0,0,1
13607,13607,600,0,0,0,600,0,0,1
13619,13619,9900,0,0,0,9900,0,0,1
13667,13667,1200,0,0,0,1200,0,0,1
28149,28149,6000,0,0,0,6000,0,0,1
13771,13771,200,0,0,0,200,0,0,1
13787,13787,600,0,0,300,300,0,0,1
9212,9212,2000,0,0,0,2000,0,0,1
13959,13959,200,0,0,0,200,0,0,1
12822,12822,2500,0,0,1300,1200,0,0,1
9372,9372,3000,0,0,0,3000,0,0,1
14111,14111,300,0,0,0,300,0,0,1
13278,13278,2000,0,0,0,2000,0,0,1
28625,28625,900,0,0,0,900,0,0,1
13494,13494,5000,0,0,2000,3000,0,0,1
13538,13538,500,0,0,0,500,0,0,1
28737,28737,1000,0,0,400,600,0,0,1
13742,13742,600,0,0,0,600,0,0,1
14283,14283,100,0,0,0,100,0,0,1
14287,14287,11000,0,0,0,11000,0,0,1
14130,14130,600,0,0,0,600,0,0,1
14246,14246,600,0,0,300,300,0,0,1
9652,9652,3000,0,0,0,3000,0,0,1
9656,9656,5000,0,0,0,5000,0,0,1
28961,28961,500,0,0,0,500,0,0,1
14363,14363,500,0,0,0,500,0,0,1
14411,14411,500,0,0,0,500,0,0,1
14435,14435,500,0,0,300,200,0,0,1
29121,29121,300,0,0,100,200,0,0,1
9720,9720,15000,0,0,0,15000,0,0,1
14459,14459,500,0,0,0,500,0,0,1
29145,45733,1000,1000,0,0,1000,1000,0,1
15282,15282,1500,0,0,0,1500,0,0,1
14471,14471,100,0,0,0,100,0,0,1
14483,14483,5000,0,0,0,5000,0,0,1
29197,29197,4500,0,0,0,4500,0,0,1
14487,14487,1000,0,0,0,1000,0,0,1
14495,14495,500,0,0,0,500,0,0,1
9756,9756,15000,0,0,0,15000,0,0,1
14523,14523,1000,0,0,0,1000,0,0,1
16042,16042,2500,0,0,100,2400,0,0,1
9820,9820,1200,0,0,0,1200,0,0,1
14563,14563,5000,0,0,0,5000,0,0,1
14595,14595,5000,0,0,0,5000,0,0,1
29305,29305,3000,0,0,0,3000,0,0,1
14607,14607,100,0,0,0,100,0,0,1
14623,14623,1000,0,0,0,1000,0,0,1
14627,14627,3000,0,0,0,3000,0,0,1
14635,14635,28,0,0,0,28,0,0,1
9880,9880,15000,0,0,0,15000,0,0,1
16806,16806,5000,0,0,0,5000,0,0,1
14643,14643,5000,0,0,0,5000,0,0,1
14655,14655,2500,0,0,0,2500,0,0,1
14667,14667,3700,0,0,0,3700,0,0,1
14679,14679,1200,0,0,0,1200,0,0,1
14687,14687,300,0,0,0,300,0,0,1
14711,14711,2500,0,0,1300,1200,0,0,1
14715,14715,10,0,0,0,10,0,0,1
14879,14879,3700,0,0,0,3700,0,0,1
17426,17426,2500,0,0,0,2500,0,0,1
17430,17430,5000,0,0,2500,2500,0,0,1
15127,15127,1200,0,0,0,1200,0,0,1
17458,17458,2500,0,0,0,2500,0,0,1
15399,15399,1800,0,0,0,1800,0,0,1
29517,29517,5,0,0,0,5,0,0,1
15451,15451,100,0,0,0,100,0,0,1
9960,9960,1,0,0,0,1,0,0,1
9964,9964,1000,0,0,0,1000,0,0,1
15623,15623,1200,0,0,600,600,0,0,1
16051,16051,1800,0,0,0,1800,0,0,1
9992,9992,2000,0,0,0,2000,0,0,1
10000,10000,3000,0,0,0,3000,0,0,1
16387,16387,6000,0,0,2000,4000,0,0,1
16423,16423,4000,0,0,2000,2000,0,0,1
16443,16443,5000,0,0,0,5000,0,0,1
10012,10012,2000,0,0,0,2000,0,0,1
16563,16563,4000,0,0,0,4000,0,0,1
17610,17610,1000,0,0,0,1000,0,0,1
10044,10044,1000,0,0,0,1000,0,0,1
17658,17658,1000,0,0,500,500,0,0,1
17666,17666,600,0,0,300,300,0,0,1
17670,17670,2500,0,0,100,2400,0,0,1
17686,17686,1000,0,0,0,1000,0,0,1
17690,17690,1000,0,0,500,500,0,0,1
17339,17339,4400,0,0,0,4400,0,0,1
17718,17718,300,0,0,0,300,0,0,1
17734,17734,2200,0,0,0,2200,0,0,1
17746,17746,2500,0,0,0,2500,0,0,1
17762,17762,300,0,0,0,300,0,0,1
17770,17770,15000,0,0,0,15000,0,0,1
10116,10116,500,0,0,0,500,0,0,1
10120,10120,500,0,0,0,500,0,0,1
10136,10136,500,0,0,300,200,0,0,1
17834,17834,1200,0,0,0,1200,0,0,1
18119,18119,3000,0,0,0,3000,0,0,1
10140,10140,1800,0,0,0,1800,0,0,1
18367,18367,1000,0,0,0,1000,0,0,1
17890,17890,900,0,0,0,900,0,0,1
17898,17898,1200,0,0,0,1200,0,0,1
17910,17910,500,0,0,0,500,0,0,1
10168,10168,4700,0,0,0,4700,0,0,1
17930,17930,15000,0,0,7500,7500,0,0,1
17958,17958,2500,0,0,0,2500,0,0,1
17962,17962,1000,0,0,0,1000,0,0,1
17978,17978,1000,0,0,0,1000,0,0,1
17994,17994,400,0,0,0,400,0,0,1
19051,19051,29900,0,0,14900,15000,0,0,1
30129,30129,100000,0,0,0,100000,0,0,1
19187,19187,90000,0,0,0,90000,0,0,1
19247,19247,500,0,0,0,500,0,0,1
19263,19263,1000,0,0,500,500,0,0,1
19359,19359,1000,0,0,0,1000,0,0,1
19419,19419,30000,0,0,7500,22500,0,0,1
19575,19575,5000,0,0,0,5000,0,0,1
19799,19799,17600,0,0,2700,14900,0,0,1
19807,19807,90000,0,0,0,90000,0,0,1
19927,19927,5000,0,0,0,5000,0,0,1
18114,18114,1000,0,0,0,1000,0,0,1
20019,20019,1000,0,0,0,1000,0,0,1
20023,20023,1000,0,0,0,1000,0,0,1
18138,18138,1000,0,0,500,500,0,0,1
18166,18166,1000,0,0,0,1000,0,0,1
10264,10264,900,0,91,0,809,0,0,1
18186,18186,1000,0,0,500,500,0,0,1
20435,20435,6000,0,0,2000,4000,0,0,1
20467,20467,4000,0,0,2000,2000,0,0,1
10324,10324,15000,0,0,10000,5000,0,0,1
10428,10428,15000,0,0,12500,2500,0,0,1
10516,10516,15000,0,0,0,15000,0,0,1
